Program,Certificate Type,Type,Filename,URL,Status
Accounting and Budgeting,CCC,Course List,Accounting_and_Budgeting_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65075.pdf,Downloaded
Accounting and Budgeting,CCC,Course Sequence,Accounting_and_Budgeting_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_AccountingandBudgeting_csg.pdf,Downloaded
Accounting Technology Management,CCC,Course List,Accounting_Technology_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65077.pdf,Downloaded
Accounting Technology Management,CCC,Course Sequence,N/A,https://www.mdc.edu/accountingapplications,PDF not found
Addiction Studies,CCC,Course List,Addiction_Studies_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65078.pdf,Downloaded
Addiction Studies,CCC,Course Sequence,N/A,https://www.mdc.edu/addictionstudiescertificate,PDF not found
Air Cargo Management,CCC,Course List,Air_Cargo_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66030.pdf,Downloaded
Air Cargo Management,CCC,Course Sequence,N/A,https://www.mdc.edu/aircargoagent/,PDF not found
Airline Maintenance Procedures and Records Management,CCC,Course List,Airline_Maintenance_Procedures_and_Records_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63018.pdf,Downloaded
Airline Maintenance Procedures and Records Management,CCC,Course Sequence,N/A,https://www.mdc.edu/airlinemaintenance,PDF not found
Airline/Aviation Management,CCC,Course List,AirlineAviation_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63012.pdf,Downloaded
Airline/Aviation Management,CCC,Course Sequence,N/A,https://www.mdc.edu/aviationmanagement/,PDF not found
Airport Management,CCC,Course List,Airport_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63017.pdf,Downloaded
Airport Management,CCC,Course Sequence,N/A,https://www.mdc.edu/airportmanagement/,PDF not found
American Sign Language,CCC,Course List,American_Sign_Language_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/64053.pdf,Downloaded
American Sign Language,CCC,Course Sequence,American_Sign_Language_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_AmericanSignLanguage_csg.pdf,Downloaded
Artificial Intelligence Awareness,CCC,Course List,Artificial_Intelligence_Awareness_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66040.pdf,Downloaded
Artificial Intelligence Awareness,CCC,Course Sequence,Artificial_Intelligence_Awareness_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_ArtificialIntelligenceAwareness_csg.pdf,Downloaded
Artificial Intelligence Practitioner,CCC,Course List,Artificial_Intelligence_Practitioner_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66041.pdf,Downloaded
Artificial Intelligence Practitioner,CCC,Course Sequence,Artificial_Intelligence_Practitioner_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_ArtificialIntelligencePractitioner_csg.pdf,Downloaded
Audio Technology,CCC,Course List,Audio_Technology_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/61000.pdf,Downloaded
Audio Technology,CCC,Course Sequence,N/A,https://www.mdc.edu/audiotechnology/,PDF not found
Automation,CCC,Course List,Automation_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/68000.pdf,Downloaded
Automation,CCC,Course Sequence,N/A,https://www.mdc.edu/automation,PDF not found
Biotechnology,CCC,Course List,Biotechnology_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/60002.pdf,Downloaded
Biotechnology,CCC,Course Sequence,N/A,https://www.mdc.edu/biotechnologycertificate,PDF not found
Building Construction Specialist,CCC,Course List,Building_Construction_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66025.pdf,Downloaded
Building Construction Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/buildingconstructionspecialist/,PDF not found
Business Entrepreneurship Operations - Family-Owned Business,CCC,Course List,Business_Entrepreneurship_Operations_-_Family-Owned_Business_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65109.pdf,Downloaded
Business Entrepreneurship Operations - Family-Owned Business,CCC,Course Sequence,N/A,https://www.mdc.edu/familyownedentrepreneurshipoperations,PDF not found
Business Entrepreneurship Operations - Social Venture,CCC,Course List,Business_Entrepreneurship_Operations_-_Social_Venture_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65111.pdf,Downloaded
Business Entrepreneurship Operations - Social Venture,CCC,Course Sequence,N/A,https://www.mdc.edu/socialentrepreneurshipoperations,PDF not found
Business Entrepreneurship Operations – Start-Up Venture,CCC,Course List,Business_Entrepreneurship_Operations_Start-Up_Venture_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65110.pdf,Downloaded
Business Entrepreneurship Operations – Start-Up Venture,CCC,Course Sequence,N/A,https://www.mdc.edu/startupentrepreneurshipoperations,PDF not found
Business Entrepreneurship Specialist - Family-Owned Business,CCC,Course List,Business_Entrepreneurship_Specialist_-_Family-Owned_Business_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65098.pdf,Downloaded
Business Entrepreneurship Specialist - Family-Owned Business,CCC,Course Sequence,N/A,https://www.mdc.edu/familyownedentrepreneurship,PDF not found
Business Entrepreneurship Specialist - Social Venture,CCC,Course List,Business_Entrepreneurship_Specialist_-_Social_Venture_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65097.pdf,Downloaded
Business Entrepreneurship Specialist - Social Venture,CCC,Course Sequence,N/A,https://www.mdc.edu/socialentrepreneurship,PDF not found
Business Entrepreneurship Specialist - Start-Up Venture,CCC,Course List,Business_Entrepreneurship_Specialist_-_Start-Up_Venture_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65101.pdf,Downloaded
