Major,Degree Type,Type,Filename,URL,Status
Accounting,AA,Course List,Accounting_Course_list_2025.pdf,N/A (existing file),Already Exists
Accounting,AA,Course Sequence,Accounting_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Agriculture,AA,Course List,Agriculture_Course_list_2025.pdf,N/A (existing file),Already Exists
Agriculture,AA,Course Sequence,Agriculture_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Anthropology,AA,Course List,Anthropology_Course_list_2025.pdf,N/A (existing file),Already Exists
Anthropology,AA,Course Sequence,Anthropology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Architecture,AA,Course List,Architecture_Course_list_2025.pdf,N/A (existing file),Already Exists
Architecture,AA,Course Sequence,Architecture_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Area Ethnic Studies,AA,Course List,Area_Ethnic_Studies_Course_list_2025.pdf,N/A (existing file),Already Exists
Area Ethnic Studies,AA,Course Sequence,Area_Ethnic_Studies_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Art or Art Education,AA,Course List,Art_or_Art_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Art or Art Education,AA,Course Sequence,Art_or_Art_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Atmospheric Science Meteorology,AA,Course List,Atmospheric_Science_Meteorology_Course_list_2025.pdf,N/A (existing file),Already Exists
Atmospheric Science Meteorology,AA,Course Sequence,Atmospheric_Science_Meteorology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Biology,AA,Course List,Biology_Course_list_2025.pdf,N/A (existing file),Already Exists
Biology,AA,Course Sequence,Biology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Building Construction,AA,Course List,Building_Construction_Course_list_2025.pdf,N/A (existing file),Already Exists
Building Construction,AA,Course Sequence,Building_Construction_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Chemistry,AA,Course List,Chemistry_Course_list_2025.pdf,N/A (existing file),Already Exists
Chemistry,AA,Course Sequence,Chemistry_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Arts Animation,AA,Course List,Computer_Arts_Animation_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Arts Animation,AA,Course Sequence,Computer_Arts_Animation_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Information Systems,AA,Course List,Computer_Information_Systems_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Information Systems,AA,Course Sequence,Computer_Information_Systems_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Science,AA,Course List,Computer_Science_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Science,AA,Course Sequence,Computer_Science_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Criminal Justice Administration,AA,Course List,Criminal_Justice_Administration_Course_list_2025.pdf,N/A (existing file),Already Exists
Criminal Justice Administration,AA,Course Sequence,Criminal_Justice_Administration_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Dance,AA,Course List,Dance_Course_list_2025.pdf,N/A (existing file),Already Exists
Dance,AA,Course Sequence,Dance_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Dietetics,AA,Course List,Dietetics_Course_list_2025.pdf,N/A (existing file),Already Exists
Dietetics,AA,Course Sequence,Dietetics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Drama or Drama Education,AA,Course List,Drama_or_Drama_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Drama or Drama Education,AA,Course Sequence,Drama_or_Drama_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Economics,AA,Course List,Economics_Course_list_2025.pdf,N/A (existing file),Already Exists
Economics,AA,Course Sequence,Economics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Architectural,AA,Course List,Engineering_-_Architectural_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Architectural,AA,Course Sequence,Engineering_-_Architectural_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Biomedical,AA,Course List,Engineering_-_Biomedical_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Biomedical,AA,Course Sequence,Engineering_-_Biomedical_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Chemical,AA,Course List,Engineering_-_Chemical_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Chemical,AA,Course Sequence,Engineering_-_Chemical_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Civil,AA,Course List,Engineering_-_Civil_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Civil,AA,Course Sequence,Engineering_-_Civil_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Computer,AA,Course List,Engineering_-_Computer_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Computer,AA,Course Sequence,Engineering_-_Computer_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Electrical,AA,Course List,Engineering_-_Electrical_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Electrical,AA,Course Sequence,Engineering_-_Electrical_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Geomatics Surveying and Mapping,AA,Course List,Engineering_-_Geomatics_Surveying_and_Mapping_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Geomatics Surveying and Mapping,AA,Course Sequence,Engineering_-_Geomatics_Surveying_and_Mapping_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Industrial,AA,Course List,Engineering_-_Industrial_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Industrial,AA,Course Sequence,Engineering_-_Industrial_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Mechanical,AA,Course List,Engineering_-_Mechanical_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Mechanical,AA,Course Sequence,Engineering_-_Mechanical_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Engineering - Ocean,AA,Course List,Engineering_-_Ocean_Course_list_2025.pdf,N/A (existing file),Already Exists
Engineering - Ocean,AA,Course Sequence,Engineering_-_Ocean_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
EnglishLiterature English Education,AA,Course List,EnglishLiterature_English_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
EnglishLiterature English Education,AA,Course Sequence,EnglishLiterature_English_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Environmental Sciences,AA,Course List,Environmental_Sciences_Course_list_2025.pdf,N/A (existing file),Already Exists
Environmental Sciences,AA,Course Sequence,Environmental_Sciences_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Exercise Science,AA,Course List,Exercise_Science_Course_list_2025.pdf,N/A (existing file),Already Exists
Exercise Science,AA,Course Sequence,Exercise_Science_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Foreign Language,AA,Course List,Foreign_Language_Course_list_2025.pdf,N/A (existing file),Already Exists
Foreign Language,AA,Course Sequence,Foreign_Language_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Forestry,AA,Course List,Forestry_Course_list_2025.pdf,N/A (existing file),Already Exists
Forestry,AA,Course Sequence,Forestry_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Geology,AA,Course List,Geology_Course_list_2025.pdf,N/A (existing file),Already Exists
Geology,AA,Course Sequence,Geology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Graphic or Commercial Arts,AA,Course List,Graphic_or_Commercial_Arts_Course_list_2025.pdf,N/A (existing file),Already Exists
Graphic or Commercial Arts,AA,Course Sequence,Graphic_or_Commercial_Arts_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Health Services Administration,AA,Course List,Health_Services_Administration_Course_list_2025.pdf,N/A (existing file),Already Exists
Health Services Administration,AA,Course Sequence,Health_Services_Administration_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
History,AA,Course List,History_Course_list_2025.pdf,N/A (existing file),Already Exists
History,AA,Course Sequence,History_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Hospitality AdministrationTravel Tourism,AA,Course List,Hospitality_AdministrationTravel_Tourism_Course_list_2025.pdf,N/A (existing file),Already Exists
Hospitality AdministrationTravel Tourism,AA,Course Sequence,Hospitality_AdministrationTravel_Tourism_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Interior Design,AA,Course List,Interior_Design_Course_list_2025.pdf,N/A (existing file),Already Exists
Interior Design,AA,Course Sequence,Interior_Design_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
International Relations,AA,Course List,International_Relations_Course_list_2025.pdf,N/A (existing file),Already Exists
International Relations,AA,Course Sequence,International_Relations_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Landscape Architecture,AA,Course List,Landscape_Architecture_Course_list_2025.pdf,N/A (existing file),Already Exists
Landscape Architecture,AA,Course Sequence,Landscape_Architecture_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Mass CommunicationsJournalism,AA,Course List,Mass_CommunicationsJournalism_Course_list_2025.pdf,N/A (existing file),Already Exists
Mass CommunicationsJournalism,AA,Course Sequence,Mass_CommunicationsJournalism_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Mathematics,AA,Course List,Mathematics_Course_list_2025.pdf,N/A (existing file),Already Exists
Mathematics,AA,Course Sequence,Mathematics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Music or Music Education,AA,Course List,Music_or_Music_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Music or Music Education,AA,Course Sequence,Music_or_Music_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Philosophy,AA,Course List,Philosophy_Course_list_2025.pdf,N/A (existing file),Already Exists
Philosophy,AA,Course Sequence,Philosophy_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Physical Education Teaching Coaching,AA,Course List,Physical_Education_Teaching_Coaching_Course_list_2025.pdf,N/A (existing file),Already Exists
Physical Education Teaching Coaching,AA,Course Sequence,Physical_Education_Teaching_Coaching_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Physics,AA,Course List,Physics_Course_list_2025.pdf,N/A (existing file),Already Exists
Physics,AA,Course Sequence,Physics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Political Science,AA,Course List,Political_Science_Course_list_2025.pdf,N/A (existing file),Already Exists
Political Science,AA,Course Sequence,Political_Science_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Bachelor of Arts,AA,Course List,Pre-Bachelor_of_Arts_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Bachelor of Arts,AA,Course Sequence,Pre-Bachelor_of_Arts_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Law,AA,Course List,Pre-Law_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Law,AA,Course Sequence,Pre-Law_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Medical ScienceDentistry,AA,Course List,Pre-Medical_ScienceDentistry_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Medical ScienceDentistry,AA,Course Sequence,Pre-Medical_ScienceDentistry_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Medical Technology,AA,Course List,Pre-Medical_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Medical Technology,AA,Course Sequence,Pre-Medical_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Nursing,AA,Course List,Pre-Nursing_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Nursing,AA,Course Sequence,Pre-Nursing_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Occupational Therapy,AA,Course List,Pre-Occupational_Therapy_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Occupational Therapy,AA,Course Sequence,Pre-Occupational_Therapy_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Optometry,AA,Course List,Pre-Optometry_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Optometry,AA,Course Sequence,Pre-Optometry_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Pharmacy,AA,Course List,Pre-Pharmacy_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Pharmacy,AA,Course Sequence,Pre-Pharmacy_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Physical Therapy,AA,Course List,Pre-Physical_Therapy_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Physical Therapy,AA,Course Sequence,Pre-Physical_Therapy_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Pre-Veterinary Medicine,AA,Course List,Pre-Veterinary_Medicine_Course_list_2025.pdf,N/A (existing file),Already Exists
Pre-Veterinary Medicine,AA,Course Sequence,Pre-Veterinary_Medicine_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Psychology,AA,Course List,Psychology_Course_list_2025.pdf,N/A (existing file),Already Exists
Psychology,AA,Course Sequence,Psychology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Public Administration,AA,Course List,Public_Administration_Course_list_2025.pdf,N/A (existing file),Already Exists
Public Administration,AA,Course Sequence,Public_Administration_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Recreation,AA,Course List,Recreation_Course_list_2025.pdf,N/A (existing file),Already Exists
Recreation,AA,Course Sequence,Recreation_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Religion,AA,Course List,Religion_Course_list_2025.pdf,N/A (existing file),Already Exists
Religion,AA,Course Sequence,Religion_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Social Work,AA,Course List,Social_Work_Course_list_2025.pdf,N/A (existing file),Already Exists
Social Work,AA,Course Sequence,Social_Work_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Sociology,AA,Course List,Sociology_Course_list_2025.pdf,N/A (existing file),Already Exists
Sociology,AA,Course Sequence,Sociology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Speech Pathology Audiology,AA,Course List,Speech_Pathology_Audiology_Course_list_2025.pdf,N/A (existing file),Already Exists
Speech Pathology Audiology,AA,Course Sequence,Speech_Pathology_Audiology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Elementary,AA,Course List,Teaching_Elementary_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Elementary,AA,Course Sequence,Teaching_Elementary_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Exceptional Student Education,AA,Course List,Teaching_Exceptional_Student_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Exceptional Student Education,AA,Course Sequence,Teaching_Exceptional_Student_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Pre-ElementaryEarly Childhood,AA,Course List,Teaching_Pre-ElementaryEarly_Childhood_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Pre-ElementaryEarly Childhood,AA,Course Sequence,Teaching_Pre-ElementaryEarly_Childhood_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Biology,AA,Course List,Teaching_Secondary_Biology_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Biology,AA,Course Sequence,Teaching_Secondary_Biology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Chemistry,AA,Course List,Teaching_Secondary_Chemistry_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Chemistry,AA,Course Sequence,Teaching_Secondary_Chemistry_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary,AA,Course List,Teaching_Secondary_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary,AA,Course Sequence,Teaching_Secondary_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EarthSpace,AA,Course List,Teaching_Secondary_EarthSpace_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EarthSpace,AA,Course Sequence,Teaching_Secondary_EarthSpace_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EnglishForeign Languages,AA,Course List,Teaching_Secondary_EnglishForeign_Languages_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EnglishForeign Languages,AA,Course Sequence,Teaching_Secondary_EnglishForeign_Languages_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Mathematics Education,AA,Course List,Teaching_Secondary_Mathematics_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Mathematics Education,AA,Course Sequence,Teaching_Secondary_Mathematics_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Physics,AA,Course List,Teaching_Secondary_Physics_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Physics,AA,Course Sequence,Teaching_Secondary_Physics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Social Science,AA,Course List,Teaching_Secondary_Social_Science_Course_list_2025.pdf,N/A (existing file),Already Exists
